author_a,author_b,author_a_name,author_b_name,papers_shared,weight_frac,both_faculty
weinstein_withjonathan_04,yildiz_muhamet_01,with Jonathan Weinstein,Muhamet Yildiz,8,8.000000,false
abdulkadiroglu_atila_01,angrist_joshuad_01,Atila Abdulkadiroğlu,Joshua D. Angrist,7,2.250000,false
acemoglu_daron_01,akcigit_ufuk_01,Daron Acemoglu,Ufuk Akcigit,7,3.666667,false
acemoglu_daron_01,makhdoumi_ali_01,Daron Acemoglu,Ali Makhdoumi,7,2.250000,false
affairs_health_01,gruber_jonathan_01,Health Affairs,Jonathan Gruber,7,1.550000,false
alsan_marcella_03,eichmeyer_sarah_01,Marcella Alsan,Sarah Eichmeyer,7,0.883333,false
andrews_isaiah_02,stock_james_01,Isaiah Andrews,James Stock,7,4.000000,true
auclert_adrien_01,rognlie_matthew_01,Adrien Auclert,Matthew Rognlie,7,2.833333,false
auclert_adrien_01,straub_ludwig_01,Adrien Auclert,Ludwig Straub,7,2.833333,false
autor_davidh_01,duggan_markg_01,David H. Autor,Mark G. Duggan,7,5.333333,false
babaioff_moshe_01,gonczarowski_yannaia_01,Moshe Babaioff,Yannai A. Gonczarowski,7,2.616667,false
baker_g_02,gibbons_robert_01,G. Baker,Robert Gibbons,7,3.500000,false
baker_g_02,murphy_kevin_01,G. Baker,Kevin Murphy,7,3.500000,false
banerjee_abhijitv_02,goldsmithpinkham_paul_01,Abhijit V. Banerjee,Paul Goldsmith-Pinkham,7,0.623002,false
banerjee_abhijitv_02,jackson_matthewo_02,Abhijit V. Banerjee,Matthew O. Jackson,7,1.750000,false
banerjee_abhijitv_02,sumarto_sudarno_01,Abhijit V. Banerjee,Sudarno Sumarto,7,1.566667,false
banerjee_withabhijit_04,hanna_rema_01,with Abhijit Banerjee,Rema Hanna,7,1.566667,false
beauchamp_jonathanp_01,cesarini_david_01,Jonathan P. Beauchamp,David Cesarini,7,0.263676,false
beauchamp_jonathanp_01,johannesson_magnus_01,Jonathan P. Beauchamp,Magnus Johannesson,7,0.263676,false
beauchamp_jonathanp_01,magnusson_patrikke_01,Jonathan P. Beauchamp,Patrik K. E. Magnusson,7,0.263676,false
bell_linda_02,freeman_richardb_01,Linda Bell,Richard B. Freeman,7,7.000000,false
benjamin_danielj_01,koellinger_philippd_01,Daniel J. Benjamin,Philipp D. Koellinger,7,0.243921,false
benjamin_danielj_01,meyer_michellen_04,Daniel J. Benjamin,Michelle N. Meyer,7,0.437255,false
benjamin_danielj_01,turley_patrick_01,Daniel J. Benjamin,Patrick Turley,7,0.459041,false
benjamin_danielj_01,visscher_peterm_01,Daniel J. Benjamin,Peter M. Visscher,7,0.355662,false
bergeron_augustin_01,weigel_jonathan_01,Augustin Bergeron,Jonathan Weigel,7,2.250000,false
boycko_maxim_01,shleifer_andrei_01,Maxim Boycko,Andrei Shleifer,7,3.833333,false
breza_emily_02,goldsmithpinkham_paul_01,Emily Breza,Paul Goldsmith-Pinkham,7,0.623002,false
cesarini_david_01,chabris_christopherf_01,David Cesarini,Christopher F. Chabris,7,0.593134,false
cesarini_david_01,freese_jeremy_01,David Cesarini,Jeremy Freese,7,0.273260,false
cesarini_david_01,meyer_michellen_04,David Cesarini,Michelle N. Meyer,7,0.213571,false
cesarini_david_01,turley_patrick_01,David Cesarini,Patrick Turley,7,0.235357,false
chernozhukov_victor_01,wuthrich_kaspar_01,Victor Chernozhukov,Kaspar Wüthrich,7,3.166667,false
costinot_arnaud_01,vogel_jonathan_01,Arnaud Costinot,Jonathan Vogel,7,4.333333,false
cutler_davidm_01,gruber_jonathan_01,David M. Cutler,Jonathan Gruber,7,5.533333,true
