author_id,display_name,name_variants,prof_id_if_faculty,is_faculty
appendix_cindypaladines_01,Cindy Paladines.  Appendix.,Cindy Paladines.  Appendix.,,false
appendix_paulgoldsmithpinkham_02,Paul Goldsmith-Pinkham. Appendix.,Appendix|Paul Goldsmith-Pinkham. Appendix.,,false
appendix_remahannaaugust2024_03,Rema Hanna. August 2024. Appendix.,Rema Hanna. August 2024. Appendix.,,false
appendix_supplemental_04,Supplemental Appendix,Supplemental Appendix,,false
appendix_supplementary_05,Supplementary Appendix,Supplementary Appendix,,false
aradhyula_sumhith_01,Sumhith Aradhyula,Sumhith Aradhyula,,false
aradillaslopez_a_01,A. Aradillas-Lopez,A. Aradillas-Lopez,,false
archetti_marco_01,Marco Archetti,Marco Archetti,,false
aridor_withguy_01,with Guy Aridor,with Guy Aridor,,false
ariely_dan_01,Dan Ariely,D. Ariely|Dan Ariely,,false
arkolakis_c_01,C. Arkolakis,C. Arkolakis,,false
armona_luis_01,Luis Armona,Luis Armona,,false
armstrong_timothyb_01,Timothy B. Armstrong,Timothy B. Armstrong,,false
armstrong_wendys_02,Wendy S. Armstrong,Wendy S. Armstrong,,false
arora_abhishek_01,Abhishek Arora,Abhishek Arora,,false
arrow_kennethj_01,Kenneth J. Arrow,Arrow|Kenneth Arrow|Kenneth J. Arrow,,false
article_slate_01,Slate Article,Slate Article,,false
ash_arlenes_01,Arlene S. Ash,Arlene S. Ash,,false
ashlagi_itai_01,Itai Ashlagi,Itai Ashlagi,,false
ashlagi_withitai_02,with Itai Ashlagi,with Itai Ashlagi,,false
ashourian_p_01,P. Ashourian,P. Ashourian,,false
ashraf_nava_01,Nava Ashraf,Nava Ashraf,,false
asirvatham_hemanth_01,Hemanth Asirvatham,Hemanth Asirvatham,,false
asker_john_01,John Asker,John Asker,,false
aspelund_karlm_01,Karl M. Aspelund,Karl M. Aspelund,,false
asquith_paul_01,Paul Asquith,Paul Asquith,,false
assessment_intheeconomicconsequencesofasecondtrumpadministrationapreliminary_01,in The Economic Consequences of a Second Trump Administration: A Preliminary Assessment,in The Economic Consequences of a Second Trump Administration: A Preliminary Assessment,,false
atanassova_antonia_01,Antonia Atanassova,Antonia Atanassova,,false
athey_susan_01,Susan Athey,S. Athey|Susan Athey,,false
athey_withsusan_02,with Susan Athey,with Susan Athey,,false
atkeson_andrew_01,Andrew Atkeson,Andrew Atkeson,,false
atkin_2022jointwithdavid_01,2022 (joint with David Atkin),2022 (joint with David Atkin),,false
atkin_david_01,David Atkin,D. Atkin|David Atkin,mit_atkin_david,true
atkinson_anthony_01,Anthony Atkinson,Anthony Atkinson,,false
atwood_craigs_01,Craig S. Atwood,Craig Atwood|Craig S. Atwood,,false
au_andrea_01,Andrea Au,Andrea Au,,false
auclert_adrien_01,Adrien Auclert,Adrien Auclert,,false
auerbach_alanj_01,Alan J. Auerbach,A. Auerbach|Alan Auerbach|Alan J. Auerbach,,false
auerbach_inalan_02,in Alan Auerbach,in Alan Auerbach,,false
